fps;frame time;memory used; memory allocated;fps;drawCalls;frameTime;renderTime;gpuFrameTimeCounter;averageGpuFrameTime
1813.5999999977648;867.00;0.5;23.86;32.96;1234.57;0;0;14336;17497.070866141734
2813.599999997765;1253.00;0.19999999925494194;24.14;32.96;1562.50;0;0;17248;19062.77616747182
3813.599999997765;1149.00;0.30000000074505806;26.75;32.96;1587.30;0;0;18944;19459.93736017897
4813.699999999255;1570.84;0.19999999925494194;25.94;32.96;1604.28;0;0;20864;19677.088774761556
5814.099999997765;1499.40;0.3999999985098839;23.46;32.96;1657.46;0;0;14336;18987.35200439319
6814.29999999702;1632.67;0.30000000074505806;25.18;32.96;1724.14;0;0;15904;18723.655951346656
7814.29999999702;1624.00;0.30000000074505806;22.42;31.65;1515.15;0;0;20480;18991.402727925342
8814.29999999702;1540.00;0.3999999985098839;24.07;31.65;1515.15;0;0;18752;19585.143561306224
9815.099999997765;1565.75;0.29999999701976776;22.57;31.65;1492.54;0;0;20640;19993.43257820928
10815.79999999702;1666.83;0.20000000298023224;21.13;31.65;1463.41;0;0;20224;20390.366331898615
11816.29999999702;1648.18;0.6999999992549419;22.87;31.65;1666.67;0;0;20480;20615.788795878943
12816.79999999702;1713.14;0.5;21.47;31.65;1630.43;0;0;19392;20839.636786961582
13816.79999999702;1675.00;0.30000000074505806;23.23;31.65;1648.35;0;0;19424;21030.14817440624
14817;1706.66;0.30000000074505806;21.85;31.65;1744.19;0;0;34016;21169.82410423453
15817.29999999702;1700.49;0.29999999701976776;21.36;30.65;1734.10;0;0;16384;21069.968980575213
16817.5;1708.66;0.30000000074505806;23.16;30.65;1694.92;0;0;14656;20797.657446214027
17817.599999997765;1700.83;0.19999999925494194;21.74;30.65;1724.14;0;0;14336;20534.768829134577
18817.699999999255;1706.83;0.29999999701976776;23.54;30.65;1724.14;0;0;19264;20443.461020682902
19817.79999999702;1718.83;0.30000000074505806;22.15;30.65;1612.90;0;0;18432;20506.133210417145
20817.89999999851;1718.83;0.30000000074505806;23.96;30.65;1657.46;0;0;18464;20584.67465678797
21817.89999999851;1712.00;0.30000000074505806;22.56;30.65;1764.71;0;0;19072;20690.57712573613
22817.89999999851;1729.00;0.20000000298023224;21.18;30.65;1754.39;0;0;19136;20801.94539383225
23817.89999999851;1680.00;0.30000000074505806;22.94;30.65;1724.14;0;0;20480;20889.84350107769
24818.199999999255;1727.48;0.29999999701976776;21.56;30.65;1754.39;0;0;18848;21036.09092536245
25818.29999999702;1711.83;0.20000000298023224;23.36;30.65;1685.39;0;0;15936;20932.87629483777
26818.29999999702;1709.00;0.19999999925494194;22.57;30.65;1630.43;0;0;14336;20815.667842783292
27818.39999999851;1712.83;0.19999999925494194;21.21;30.65;1754.39;0;0;16384;20670.17135650666
28818.599999997765;1707.66;0.30000000074505806;23.01;30.65;1639.34;0;0;18144;20621.007202972174
29818.79999999702;1712.66;0.19999999925494194;21.64;30.65;1704.55;0;0;18528;20671.153896720472
30819.199999999255;1718.31;0.20000000298023224;23.45;30.65;1657.46;0;0;19008;20684.248027057496
31819.39999999851;1713.66;0.19999999925494194;22.05;30.65;1694.92;0;0;21824;20538.795810093863
32819.89999999851;1707.15;0.4000000022351742;23.85;30.65;1724.14;0;0;13568;20412.69328422022
33819.89999999851;1691.00;0.30000000074505806;22.43;30.65;1764.71;0;0;16192;20294.5047109753
34820.29999999702;1719.31;0.30000000074505806;21.04;30.65;1694.92;0;0;26752;20271.53840463568
35820.599999997765;1718.48;0.19999999925494194;22.85;30.65;1775.15;0;0;26720;20339.053814876825
36821;1706.32;0.30000000074505806;20.33;30.51;1694.92;0;0;15744;20339.813327141863
37821.099999997765;1718.83;0.30000000074505806;22.14;30.51;1639.34;0;0;14336;20245.480069910358
38821.39999999851;1720.48;0.20000000298023224;20.75;30.51;1754.39;0;0;14656;20143.38896498822
39821.39999999851;1713.00;0.20000000298023224;19.36;30.51;1724.14;0;0;21888;20054.699003251426
40821.39999999851;1711.00;0.4000000022351742;21.16;30.51;1754.39;0;0;19136;20071.702596053998
41821.39999999851;1723.00;0.10000000149011612;19.77;30.51;1694.92;0;0;28576;20122.688527908507
42821.39999999851;1730.00;0.29999999701976776;21.59;30.51;1724.14;0;0;18912;20182.184329978292
43821.599999997765;1687.66;0.19999999925494194;20.17;30.51;1704.55;0;0;21504;20232.93861634009
44821.599999997765;1721.00;0.19999999925494194;21.98;30.51;1685.39;0;0;15680;20176.135325627292
45821.79999999702;1722.66;0.3999999985098839;20.60;30.51;1675.98;0;0;16064;20089.085685437607
46822.099999997765;1669.50;0.30000000074505806;19.51;30.50;1714.29;0;0;25376;20019.935391241925
47822.099999997765;1712.00;0.19999999925494194;21.32;30.50;1764.71;0;0;25920;19989.906040268455
48822.599999997765;1731.13;0.30000000074505806;19.94;30.50;1704.55;0;0;18464;20012.11775813235
49823.099999997765;1717.14;0.30000000074505806;21.75;30.50;1807.23;0;0;19232;20040.626858150667
50823.199999999255;1721.83;0.19999999925494194;20.36;30.50;1724.14;0;0;12896;20029.7418267056
51823.199999999255;1733.00;0.19999999925494194;18.99;30.50;1764.71;0;0;14848;19961.874204719337
52823.5;1717.48;0.29999999701976776;20.79;30.50;1685.39;0;0;14688;19969.18050897613
53823.599999997765;1691.83;0.4000000022351742;19.37;30.50;1562.50;0;0;18432;19949.125855998762
54823.79999999702;1714.66;0.3999999985098839;21.17;30.50;1666.67;0;0;19264;19998.94114522066
55823.89999999851;1725.83;0.30000000074505806;19.80;30.50;1685.39;0;0;19456;20026.867272456428
56824.199999999255;1699.49;0.09999999776482582;18.95;30.50;1260.50;0;0;19616;20086.100197469466
57824.29999999702;1725.83;0.30000000074505806;20.76;30.50;1704.55;0;0;18496;20168.873756419925
58824.29999999702;1744.00;0.30000000074505806;19.40;30.50;1657.46;0;0;29792;20249.28871946915
59824.599999997765;1724.48;0.30000000074505806;21.21;30.50;1744.19;0;0;14336;20220.747737438884
60824.699999999255;1713.83;0.30000000074505806;19.82;30.50;1724.14;0;0;14720;20190.629505962523
61824.699999999255;1713.00;0.20000000298023224;21.62;30.50;1714.29;0;0;14304;20139.54760708664
62825;1717.48;0.19999999925494194;20.23;30.50;1764.71;0;0;27552;20106.527549978593
63825;1712.00;0.19999999925494194;22.03;30.50;1630.43;0;0;20480;20127.491997667337
64825.29999999702;1691.49;0.5;20.61;30.50;1734.10;0;0;19648;20157.490356106737
