fps;frame time;memory used; memory allocated;fps;drawCalls;frameTime;renderTime;gpuFrameTimeCounter;averageGpuFrameTime
22076.800000000745;1678.66;0.30000000074505806;43.10;57.24;1694.92;0;0;102720;99965.87067794839
23077.199999999255;1665.33;0.30000000074505806;44.84;57.24;1724.14;0;0;98176;99824.65478442697
24077.400000002235;1669.67;0.5;44.11;54.74;1685.39;0;0;103360;99760.93437321666
25077.5;1673.83;0.30000000074505806;45.86;54.74;1639.34;0;0;96256;99677.42404948153
26077.900000002235;1697.32;0.30000000074505806;44.44;54.74;1630.43;0;0;95936;99555.36181342632
27078;1687.83;0.19999999925494194;43.00;54.74;1694.92;0;0;103200;99487.22356091031
28078.400000002235;1701.32;0.5;44.78;54.74;1648.35;0;0;91616;99393.42119237268
29079;1685.99;0.19999999925494194;43.37;54.74;1775.15;0;0;92160;99315.37605579232
30079.699999999255;1647.85;0.6999999992549419;45.10;54.74;1714.29;0;0;94496;99219.13969488483
31079.800000000745;1693.83;0.6000000014901161;43.67;54.74;1648.35;0;0;102336;99147.66536627655
32080;1693.66;0.6999999992549419;45.44;54.74;1587.30;0;0;95488;99083.06445980865
33080.900000002235;1693.48;0.19999999925494194;44.01;54.74;1685.39;0;0;95776;99070.19231029124
34081.800000000745;1666.50;0.29999999701976776;41.53;54.59;1694.92;0;0;103680;99040.44214524262
35082.10000000149;1700.49;0.19999999925494194;43.31;54.59;1840.49;0;0;93184;98989.18638902996
36082.300000000745;1709.66;0.3999999985098839;41.90;54.59;1829.27;0;0;92928;98934.97198448371
37082.800000000745;1688.16;0.5999999977648258;43.67;54.59;1675.98;0;0;97280;98877.96196627198
38082.800000000745;1692.00;0.30000000074505806;42.27;54.59;1685.39;0;0;94368;98846.45500552615
39083.199999999255;1691.32;0.19999999925494194;44.04;54.59;1666.67;0;0;102400;98803.72657311
40083.5;1659.50;0.29999999701976776;42.58;54.59;1578.95;0;0;94656;98747.22980271134
41083.5;1686.00;0.30000000074505806;44.34;54.59;1704.55;0;0;103744;98711.54421951351
42083.900000002235;1699.32;0.3999999985098839;42.91;54.59;1754.39;0;0;95040;98655.10231852201
43084.10000000149;1689.66;0.29999999701976776;41.51;54.59;1714.29;0;0;102720;98602.90845969266
44084.400000002235;1699.49;0.09999999776482582;43.29;54.59;1754.39;0;0;93856;98552.80490357304
45084.5;1665.83;0.29999999701976776;42.43;53.09;1734.10;0;0;104160;98652.14292668679
46084.699999999255;1708.66;0.5;44.21;53.09;1675.98;0;0;92160;98598.84964086952
47084.800000000745;1645.84;0.30000000074505806;42.73;53.09;1675.98;0;0;104256;98555.26074818538
48084.900000002235;1667.83;0.20000000298023224;41.28;53.09;1754.39;0;0;98752;98530.57777777778
49084.900000002235;1670.00;0.09999999776482582;43.03;53.09;1675.98;0;0;104064;98501.20090937459
50085;1676.83;0.30000000074505806;41.58;53.09;1657.46;0;0;96256;98492.5558659218
51085;1671.00;0.19999999925494194;43.33;53.09;1648.35;0;0;96256;98515.27799871712
52085.5;1693.15;0.19999999925494194;41.90;53.09;1734.10;0;0;94944;98478.0531299757
53085.5;1707.00;0.19999999925494194;43.68;53.09;1764.71;0;0;91584;98458.51616348326
